Job_ID | Title | Department | Required_Skills | Experience_Level | Location | Description_Snippet
J023 | IT Audit Manager | Security & Compliance | CISA, Risk Assessment, Internal Controls, SOX Compliance, ITGC, COBIT, Audit Reporting | Senior | Dallas, TX | Lead IT audits for financial services clients, evaluating internal controls and ensuring regulatory compliance.
J024 | Java Backend Developer | Software Engineering | Java, Spring Boot, Hibernate, Microservices, REST APIs, Kafka, PostgreSQL, Maven | Mid-Level | Denver, CO | Design and develop scalable backend services for insurance platforms, handling high-volume policy transactions.
J025 | Agile Coach | Program Management | Scrum, Kanban, SAFe, Agile Transformation, JIRA, Confluence, Mentoring, Facilitation | Senior | Remote (US) | Coach cross-functional teams and leadership on agile best practices to accelerate software delivery and improve collaboration.
J026 | GIS Data Analyst | Data & Analytics | GIS, ArcGIS, QGIS, Python, Geospatial Analysis, Mapping, SQL, Data Visualization | Junior | Portland, OR | Analyze geospatial data to support urban planning and logistics optimization projects for government clients.
J027 | Mainframe Modernization Specialist | Enterprise Solutions | COBOL, JCL, CICS, DB2, Assembler, Cloud Migration, Legacy Systems, Re-engineering | Senior | Cleveland, OH | Lead migration of legacy mainframe applications to modern cloud-native architectures for banking clients.
J028 | UX/UI Designer (Tech Consulting) | Strategy & Advisory | Figma, Adobe XD, Sketch, Prototyping, User Research, Wireframing, Accessibility, Design Systems | Mid-Level | Los Angeles, CA | Design intuitive user interfaces and experiences for enterprise software products, focusing on user-centered design principles.
J029 | Network Security Engineer | Security & Compliance | Firewalls, IPS/IDS, VPN, Cisco ASA, Palo Alto, Fortinet, Wireshark, Network Protocols | Mid-Level | Washington D.C. | Implement and manage network security solutions to protect client infrastructure from cyber threats and unauthorized access.
J030 | Big Data Architect | Data & Analytics | Hadoop, Spark, Kafka, Hive, HBase, Scala, Data Lake, Data Governance, Cloud (AWS/Azure) | Senior | Austin, TX | Architect big data platforms for media and entertainment clients, enabling real-time analytics on streaming data.
J031 | Automation Anywhere Developer | Emerging Tech | Automation Anywhere, RPA, Bot Development, API Integration, VBA, Process Automation, Excel Macros | Mid-Level | Tampa, FL | Develop robotic process automation bots to streamline finance and HR operations for enterprise clients.
J032 | IT Procurement Specialist | Strategy & Advisory | Vendor Management, IT Sourcing, Contract Negotiation, Asset Management, Procurement, Cost Analysis | Mid-Level | Chicago, IL | Manage IT hardware and software procurement, optimizing costs and ensuring compliance with client procurement policies.
J033 | Django Web Developer | Software Engineering | Python, Django, Flask, PostgreSQL, HTML, CSS, Bootstrap, REST APIs, Git | Junior | Salt Lake City, UT | Develop web applications for education technology clients using Python-based frameworks with focus on scalability.
J034 | Cloud Cost Optimization Engineer | Cloud & Infrastructure | AWS Cost Explorer, Azure Cost Management, Kubernetes, Spot Instances, FinOps, Terraform, Python | Senior | New York, NY | Analyze cloud spending and implement cost-saving strategies for clients, including rightsizing and reserved instance planning.
J035 | Blockchain Consultant | Emerging Tech | Blockchain, Ethereum, Smart Contracts, Solidity, Hyperledger, Cryptography, DeFi, Web3 | Mid-Level | San Francisco, CA | Advise clients on blockchain adoption strategies, developing proof-of-concepts for supply chain transparency and digital identity.
J036 | Technical Support Engineer (L3) | IT Service Management | Linux, Windows, Networking, Troubleshooting, Ticketing Systems, Customer Service, Scripting, Remote Support | Mid-Level | Raleigh, NC | Provide advanced technical support for enterprise clients, resolving complex infrastructure and application issues.
J037 | Workforce Management Analyst | Data & Analytics | SQL, Excel, Tableau, Workforce Optimization, Scheduling, Forecasting, Data Analysis, Reporting | Junior | Orlando, FL | Analyze workforce data to optimize staffing levels and improve operational efficiency for call center clients.
J038 | SAP FICO Consultant | Enterprise Solutions | SAP FICO, Financial Accounting, Controlling, SAP S/4HANA, GL, AP/AR, Asset Accounting, Cost Center | Senior | Houston, TX | Implement SAP Finance and Controlling modules for manufacturing clients, ensuring alignment with global accounting standards.
J039 | Elastic Stack Engineer | Data & Analytics | Elasticsearch, Logstash, Kibana, Beats, Elastic Stack, Data Visualization, Log Management, APM | Mid-Level | Denver, CO | Deploy and maintain Elastic Stack solutions for log aggregation, search, and real-time monitoring for clients.
J040 | IT Risk Manager | Security & Compliance | Risk Management Framework, ISO 31000, COBIT, IT Risk Assessment, Business Continuity, Compliance Auditing | Senior | Charlotte, NC | Develop and implement IT risk management strategies for clients, identifying vulnerabilities and recommending mitigation plans.
J041 | PHP/Laravel Developer | Software Engineering | PHP, Laravel, MySQL, JavaScript, Vue.js, REST APIs, Git, Composer | Mid-Level | Nashville, TN | Build web applications and APIs for e-commerce clients using Laravel framework, with focus on performance and security.
J042 | Digital Workplace Consultant | Strategy & Advisory | Microsoft 365, SharePoint, Teams, Power Platform, Collaboration, Digital Transformation, Adoption Strategy | Mid-Level | Seattle, WA | Help clients optimize digital workplace tools and drive user adoption for improved collaboration and productivity.
J043 | Azure Data Engineer | Data & Analytics | Azure Data Factory, Azure SQL, Synapse Analytics, Databricks, Python, Data Lake, ETL, Spark | Mid-Level | Chicago, IL | Design and build data solutions on Microsoft Azure for healthcare analytics and reporting platforms.
J044 | IT Change Manager | Program Management | ITIL, Change Management, Release Management, Stakeholder Communication, Risk Assessment, Incident Coordination | Senior | Atlanta, GA | Oversee change management processes for IT infrastructure updates, minimizing disruption to client operations.
J045 | Golang Microservices Developer | Software Engineering | Golang, gRPC, REST APIs, Docker, Kubernetes, PostgreSQL, Redis, Microservices Architecture | Mid-Level | Remote (US) | Develop high-performance microservices in Golang for fintech payment processing platforms.
J046 | Customer Success Manager (Tech) | Strategy & Advisory | Account Management, Customer Relationship, Onboarding, Training, Upselling, Client Advocacy, CRM | Mid-Level | Austin, TX | Manage post-sales relationships with enterprise clients, ensuring successful adoption of software solutions and driving renewals.
J047 | Data Governance Analyst | Data & Analytics | Data Governance, Data Quality, Metadata Management, Collibra, Informatica, GDPR, Data Lineage | Mid-Level | Boston, MA | Establish data governance frameworks for clients, ensuring data quality, privacy, and compliance with regulatory standards.
J048 | Red Hat OpenShift Administrator | Cloud & Infrastructure | OpenShift, Kubernetes, Docker, Linux, Ansible, CI/CD, Helm, Networking | Senior | Raleigh, NC | Deploy and manage OpenShift container platforms for government agencies, ensuring security and high availability.
J049 | AI/ML Research Scientist | Emerging Tech | Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, Transformers, Model Tuning | Senior | San Francisco, CA | Conduct research and develop cutting-edge machine learning models for autonomous systems and predictive analytics.
J050 | IT Asset Management Analyst | IT Service Management | ITAM, Asset Lifecycle Management, Software Licensing, SAM, CMDB, ServiceNow, Excel | Junior | Dallas, TX | Track and manage IT assets across client environments, ensuring compliance with licensing agreements and cost optimization.
J051 | Tableau Developer | Data & Analytics | Tableau, SQL, Data Blending, Dashboard Design, Calculated Fields, Performance Optimization, Storytelling | Mid-Level | New York, NY | Create visually compelling dashboards and data stories for executive clients, translating complex data into actionable insights.
J052 | Oracle Cloud Infrastructure (OCI) Architect | Cloud & Infrastructure | Oracle Cloud, OCI, Compute, Networking, Storage, Database, IAM, Terraform | Senior | Austin, TX | Design and implement Oracle Cloud solutions for enterprise clients migrating from on-premise Oracle databases.
J053 | Digital Marketing Technology Consultant | Strategy & Advisory | Google Analytics, Tag Manager, Adobe Analytics, SEO, SEM, Marketing Automation, Data Analysis | Mid-Level | Los Angeles, CA | Advise clients on marketing technology stacks, optimizing digital campaigns through data-driven insights.
J054 | C++ Embedded Systems Engineer | Software Engineering | C++, C, Embedded Linux, RTOS, ARM, Microcontrollers, Serial Protocols, Device Drivers | Senior | Detroit, MI | Develop embedded software for automotive IoT devices, ensuring real-time performance and safety compliance.
J055 | Cybersecurity Incident Responder | Security & Compliance | Incident Response, EDR, Firewalls, SIEM, Forensics, Malware Analysis, Threat Hunting, Splunk | Senior | Washington D.C. | Lead incident response engagements for clients, investigating and remediating security breaches in enterprise environments.
J056 | Alteryx Developer | Data & Analytics | Alteryx, SQL, ETL, Data Blending, Predictive Analytics, Data Visualization, Workflow Automation | Mid-Level | Chicago, IL | Build automated data workflows in Alteryx to streamline analytics processes for financial services clients.
J057 | Workday HCM Consultant | Enterprise Solutions | Workday HCM, Core HR, Payroll, Benefits, Talent Management, Reporting, Configuration, Integration | Mid-Level | Denver, CO | Implement and customize Workday Human Capital Management modules for enterprise clients.
J058 | Splunk Administrator | Data & Analytics | Splunk, SPL, Dashboards, Alerts, Forwarders, Indexers, Search Head, Data Onboarding | Mid-Level | Herndon, VA | Manage Splunk deployments for log aggregation, security monitoring, and operational intelligence for clients.
J059 | IT Sourcing Manager | Strategy & Advisory | Strategic Sourcing, Vendor Negotiation, Contract Management, Procurement, IT Outsourcing, Cost Reduction | Senior | Atlanta, GA | Lead IT sourcing initiatives, negotiating contracts with technology vendors to optimize costs and service delivery.
J060 | Kotlin Android Developer | Software Engineering | Kotlin, Android SDK, Android Studio, REST APIs, SQLite, Firebase, Mobile UI/UX, Coroutines | Mid-Level | San Francisco, CA | Develop Android applications for retail and loyalty programs, focusing on performance and user engagement.
J061 | Data Center Operations Engineer | Cloud & Infrastructure | Server Hardware, RAID, Networking, UPS, Cooling, Rack Management, Troubleshooting, Linux | Junior | Ashburn, VA | Manage data center operations, ensuring uptime and reliability for client colocation and hosting services.
J062 | ITIL Process Consultant | IT Service Management | ITIL, Service Strategy, Service Design, Service Transition, Service Operation, Continual Improvement | Senior | Remote (US) | Guide clients in implementing ITIL best practices for IT service management, improving service delivery efficiency.
J063 | Snowflake Data Architect | Data & Analytics | Snowflake, SQL, Data Modeling, ETL, AWS/Azure, Data Sharing, Performance Optimization, Data Governance | Senior | Boston, MA | Design cloud data platforms on Snowflake for clients, enabling scalable analytics and data sharing across organizations.
J064 | Penetration Tester (Ethical Hacker) | Security & Compliance | Kali Linux, Metasploit, Burp Suite, Nmap, OWASP, Exploit Development, Web Security, Network Security | Senior | San Antonio, TX | Perform authorized penetration tests on client networks and applications, identifying vulnerabilities and recommending fixes.
J065 | MuleSoft Integration Developer | Enterprise Solutions | MuleSoft, Anypoint Platform, API Design, RAML, REST, SOAP, Java, DataWeave, Integration Patterns | Mid-Level | Dallas, TX | Build integration solutions using MuleSoft to connect disparate systems for clients, enabling seamless data flow.
J066 | Product Analyst (FinTech) | Strategy & Advisory | SQL, Product Analytics, User Behavior, A/B Testing, Data Visualization, Agile, JIRA, Excel | Junior | New York, NY | Analyze user data and product metrics to inform feature development and optimize product roadmaps for fintech clients.
J067 | VMware Administrator | Cloud & Infrastructure | VMware vSphere, ESXi, vCenter, vSAN, NSX, Horizon, Virtualization, Disaster Recovery | Mid-Level | Dallas, TX | Manage virtualized environments for clients, ensuring high availability, performance, and efficient resource utilization.
J068 | Business Intelligence (BI) Consultant | Data & Analytics | Power BI, Tableau, Qlik, SQL, Data Warehousing, ETL, Dashboard Design, Client Communication | Senior | Chicago, IL | Lead BI implementations for enterprise clients, transforming data into actionable insights through reporting and visualization.
J069 | React.js Frontend Developer | Software Engineering | React.js, Redux, Hooks, JavaScript, HTML5, CSS3, Webpack, Jest, Responsive Design | Mid-Level | Austin, TX | Develop responsive frontend applications for media and entertainment clients, focusing on user experience and performance.
J070 | IT Vendor Risk Manager | Security & Compliance | Third-Party Risk Management, Vendor Assessments, Risk Scoring, Compliance Monitoring, Due Diligence | Senior | Charlotte, NC | Assess and manage risks associated with third-party vendors, ensuring client supply chain security and regulatory compliance.
J071 | Python Automation Developer | Emerging Tech | Python, Automation, Scripting, Selenium, API Automation, Jenkins, Git, Linux, PyTest | Mid-Level | Remote (US) | Build automation frameworks to streamline IT operations, including deployment, testing, and monitoring for clients.
J072 | SAP SuccessFactors Consultant | Enterprise Solutions | SAP SuccessFactors, Employee Central, Performance & Goals, Recruiting, Learning, Payroll Integration | Mid-Level | Chicago, IL | Implement SAP SuccessFactors modules to modernize HR processes and improve employee experience for clients.
J073 | IoT Solutions Architect | Emerging Tech | IoT, MQTT, CoAP, AWS IoT Core, Azure IoT Hub, Edge Computing, Sensors, Data Analytics | Senior | San Jose, CA | Design Internet of Things architectures for smart city and industrial clients, connecting devices and enabling real-time analytics.
J074 | Technical Writer (IT Documentation) | Strategy & Advisory | Technical Writing, Documentation, API Documentation, User Guides, Confluence, Markdown, Attention to Detail | Junior | Boston, MA | Create clear and concise technical documentation for client software products, including user manuals and API references.
J075 | Dynatrace Monitoring Engineer | Cloud & Infrastructure | Dynatrace, APM, Application Monitoring, Synthetic Monitoring, Infrastructure Monitoring, Dashboards | Mid-Level | Denver, CO | Deploy Dynatrace solutions for application performance monitoring, helping clients identify bottlenecks and optimize performance.
J076 | Data Privacy Consultant | Security & Compliance | GDPR, CCPA, Data Privacy, Data Protection Impact Assessment, Compliance Auditing, Legal Frameworks | Senior | Washington D.C. | Advise clients on data privacy regulations, ensuring compliance and implementing privacy-by-design principles.
J077 | Ruby on Rails Developer | Software Engineering | Ruby, Rails, PostgreSQL, JavaScript, Heroku, RSpec, REST APIs, Git | Mid-Level | Austin, TX | Build and maintain web applications using Ruby on Rails for startup and e-commerce clients, focusing on rapid iteration.
J078 | IT Capacity Planner | Cloud & Infrastructure | Capacity Planning, Performance Monitoring, Forecasting, Cloud Cost Optimization, Trend Analysis, Excel | Mid-Level | Dallas, TX | Analyze client IT resource usage to forecast capacity needs and optimize infrastructure investments.
J079 | Microsoft Dynamics 365 Consultant | Enterprise Solutions | Dynamics 365, CRM, Sales, Customer Service, Power Apps, Power Automate, Data Migration, Configuration | Mid-Level | Atlanta, GA | Implement and customize Microsoft Dynamics 365 solutions for client sales and customer service teams.
J080 | Data Annotation Specialist (AI Training) | Emerging Tech | Data Labeling, Image Annotation, Text Annotation, Quality Assurance, Excel, Attention to Detail | Junior | Remote (US) | Prepare training data for machine learning models through accurate annotation and labeling of images and text.
J081 | F5 Network Engineer | Cloud & Infrastructure | F5 Load Balancers, LTM, GTM, ASM, APM, iRules, TCP/IP, DNS, SSL/TLS | Senior | Seattle, WA | Deploy and manage F5 load balancing solutions for client application delivery and security optimization.
J082 | R Shiny Developer (Analytics) | Data & Analytics | R, Shiny, Dashboards, Data Visualization, Statistical Analysis, ggplot2, SQL, HTML/CSS | Mid-Level | San Diego, CA | Develop interactive web dashboards using R Shiny for pharmaceutical and clinical research clients.
J083 | Blockchain Smart Contract Developer | Emerging Tech | Solidity, Ethereum, Truffle, Web3.js, Smart Contracts, ERC-20, ERC-721, Security Audits | Senior | San Francisco, CA | Develop and audit smart contracts for DeFi and NFT platforms, ensuring security and gas optimization.
J084 | Service Desk Team Lead | IT Service Management | ITIL, Service Desk, Ticketing Systems, SLA Management, Team Leadership, Customer Service, Troubleshooting | Mid-Level | Phoenix, AZ | Lead service desk operations for clients, ensuring timely incident resolution and high customer satisfaction.
J085 | Data Lake Architect | Data & Analytics | AWS S3, Data Lakes, Parquet, ORC, Delta Lake, EMR, Glue, Athena, Spark, Hive | Senior | Austin, TX | Architect scalable data lakes for clients, enabling centralized storage and analytics of structured and unstructured data.
J086 | Angular Frontend Developer | Software Engineering | Angular, TypeScript, RxJS, HTML5, CSS3, Bootstrap, Angular Material, REST APIs, Git | Mid-Level | Miami, FL | Build dynamic web applications using Angular for healthcare and insurance clients, focusing on accessibility and performance.
J087 | ICT Sustainability Consultant | Strategy & Advisory | Green IT, Sustainability, Carbon Footprint, Energy Efficiency, IT Asset Disposal, ESG Reporting | Senior | London, UK | Advise clients on reducing environmental impact of IT operations, optimizing energy use and promoting sustainable practices.
J088 | Teradata Database Administrator | Data & Analytics | Teradata, SQL, Database Administration, Query Optimization, Backup Recovery, Performance Tuning | Mid-Level | Charlotte, NC | Manage Teradata data warehousing environments for retail clients, ensuring high performance and data availability.
J089 | Microsoft Azure Solutions Architect | Cloud & Infrastructure | Azure, Virtual Machines, Networking, Azure AD, Azure DevOps, ARM Templates, Security, Monitoring | Senior | Seattle, WA | Design comprehensive Azure solutions for enterprise clients, including migration, security, and disaster recovery strategies.
J090 | QA Manual Tester | Software Engineering | Manual Testing, Test Case Design, Bug Reporting, Regression Testing, JIRA, SQL, Requirements Analysis | Junior | Orlando, FL | Execute manual testing for web and mobile applications, ensuring software quality and adherence to client requirements.
J091 | Okta Identity & Access Management (IAM) Consultant | Security & Compliance | Okta, IAM, SSO, MFA, LDAP, Active Directory, SAML, OAuth, User Lifecycle Management | Mid-Level | Austin, TX | Implement Okta IAM solutions for clients, enabling secure and seamless access to enterprise applications.
J092 | Quantitative Analyst (Quant) | Data & Analytics | Python, R, SQL, Quantitative Modeling, Statistical Analysis, Financial Mathematics, Risk Modeling | Senior | New York, NY | Develop quantitative models for investment banking clients, including risk analytics and algorithmic trading strategies.
J093 | HashiCorp Vault Engineer | Security & Compliance | Vault, Secrets Management, Encryption, PKI, Access Control, API Security, Terraform, Kubernetes | Senior | Remote (US) | Deploy and manage HashiCorp Vault for client secrets management, securing sensitive data across hybrid environments.
J094 | IT Project Coordinator | Program Management | Project Coordination, MS Project, Excel, Communication, Agile, JIRA, Meeting Facilitation, Documentation | Junior | Dallas, TX | Support project managers in coordinating IT projects, tracking tasks, and facilitating communication across teams.
J095 | Neo4j Graph Database Developer | Data & Analytics | Neo4j, Cypher, Graph Modeling, Python, REST APIs, Data Integration, Performance Tuning | Mid-Level | Boston, MA | Build graph-based applications for fraud detection and recommendation systems using Neo4j for clients.
J096 | Microsoft Teams & SharePoint Consultant | IT Service Management | SharePoint, Microsoft Teams, OneDrive, Power Platform, Migration, Governance, Collaboration | Mid-Level | Chicago, IL | Design and deploy SharePoint and Teams solutions for clients, enhancing collaboration and document management.
J097 | FPGA Engineer (Hardware Consulting) | Software Engineering | FPGA, VHDL, Verilog, Xilinx, Intel, Digital Design, Simulation, Embedded Systems | Senior | San Jose, CA | Develop FPGA-based solutions for aerospace and defense clients, implementing high-performance digital signal processing.
J098 | Appian BPM Developer | Enterprise Solutions | Appian, BPM, Process Modeling, Business Rules, Integration, SAIL, REST APIs, Database | Mid-Level | Arlington, VA | Build workflow automation applications using Appian for clients, streamlining case management and approval processes.
J099 | Cybersecurity Awareness Trainer | Security & Compliance | CyberSecurity Training, Phishing Simulation, eLearning, Communication, Security Awareness, ISC2 | Mid-Level | Atlanta, GA | Design and deliver security awareness training programs for client employees, reducing human-related security risks.
J100 | IT Financial Analyst | Strategy & Advisory | IT Finance, Budgeting, Cost Analysis, Financial Modeling, Excel, Data Visualization, TCO Analysis | Mid-Level | Houston, TX | Analyze IT expenditure and financial performance for clients, providing actionable insights for cost optimization and ROI improvement.
J101 | IT Support Desk (L1) - Helpdesk Analyst | IT Support & Helpdesk | Windows 10/11, Microsoft 365, Active Directory, Ticketing Systems (ServiceNow), Remote Desktop, Troubleshooting, Customer Service | Junior | Chicago, IL | Provide first-level technical support for client employees, resolving hardware, software, and network issues via phone, email, and ticketing system.
J102 | Desktop Support Engineer (L2) | IT Support & Helpdesk | Windows, MacOS, Office 365, Active Directory, SCCM, Intune, Hardware Troubleshooting, Imaging, VPN | Mid-Level | Dallas, TX | Deploy, configure, and troubleshoot desktop and laptop systems for enterprise clients, ensuring smooth IT operations across offices.
J103 | Field IT Support Technician | IT Support & Helpdesk | Hardware Repair, Cabling, Networking Basics, Windows, Printers, Scanners, Mobile Devices, Customer Service | Junior | Los Angeles, CA | Provide on-site technical support at client locations, setting up workstations, troubleshooting network connectivity, and resolving hardware issues.
J104 | IT Service Desk Team Lead | IT Support & Helpdesk | ServiceNow, ITIL, Team Management, SLA Management, Escalation Management, Reporting, Customer Service | Senior | New York, NY | Lead a team of service desk analysts, ensuring timely incident resolution, maintaining SLA compliance, and improving support processes for clients.
J105 | Remote IT Support Specialist | IT Support & Helpdesk | Remote Desktop Tools (TeamViewer, AnyDesk), VPN, Active Directory, Office 365, Windows Server, Troubleshooting, Communication | Mid-Level | Remote (US) | Provide remote technical support to client employees across multiple time zones, resolving issues with applications, connectivity, and system access.
J106 | IT Asset & Procurement Support | IT Support & Helpdesk | IT Asset Management, Hardware Inventory, Software Licensing, Procurement, Excel, Vendor Coordination, CMDB | Junior | Austin, TX | Manage IT asset lifecycle including tracking inventory, coordinating hardware procurement, and maintaining CMDB records for client environments.
J107 | VIP/Executive IT Support Specialist | IT Support & Helpdesk | Windows, MacOS, iOS, Android, Conferencing Systems (Zoom, Teams), White Glove Support, Problem Solving | Mid-Level | San Francisco, CA | Provide premium technical support to C-suite executives and VIP users, ensuring seamless technology experience with priority response.
J108 | IT Support Engineer (Network & Systems) | IT Support & Helpdesk | Windows Server, Linux, Networking (TCP/IP, DNS, DHCP), Active Directory, Group Policy, Backup, Virtualization | Mid-Level | Washington D.C. | Manage and support client server infrastructure, including patching, backups, and network troubleshooting for small-to-medium enterprises.
J109 | Onboarding IT Specialist | IT Support & Helpdesk | User Provisioning, Active Directory, Office 365, Onboarding Automation, Hardware Setup, Documentation, Training | Junior | Denver, CO | Manage end-to-end IT onboarding for new hires, including account creation, hardware setup, access provisioning, and user training for clients.
J110 | IT Support Manager (MSP) | IT Support & Helpdesk | Managed Service Provider (MSP) Experience, ITIL, SLA Management, Client Relationship, Team Leadership, Reporting, Vendor Management | Senior | Atlanta, GA | Oversee IT support operations for multiple client accounts, ensuring high service quality, managing escalations, and driving continuous improvement initiatives.
